media_company,url
경향신문,https://v.daum.net/channel/11
국민일보,https://v.daum.net/channel/45
동아일보,https://v.daum.net/channel/190
문화일보,https://v.daum.net/channel/15
서울신문,https://v.daum.net/channel/33
세계일보,https://v.daum.net/channel/38
조선일보,https://v.daum.net/channel/200
중앙일보,https://v.daum.net/channel/8
한겨레,https://v.daum.net/channel/17
한국일보,https://v.daum.net/channel/49
매일경제,https://v.daum.net/channel/7
머니투데이,https://v.daum.net/channel/5
서울경제,https://v.daum.net/channel/129
아시아경제,https://v.daum.net/channel/90
이데일리,https://v.daum.net/channel/6
파이낸셜뉴스,https://v.daum.net/channel/139
한국경제,https://v.daum.net/channel/3
헤럴드경제,https://v.daum.net/channel/19
YTN,https://v.daum.net/channel/23
뉴스1,https://v.daum.net/channel/396
뉴시스,https://v.daum.net/channel/21
연합뉴스,https://v.daum.net/channel/2
연합뉴스TV,https://v.daum.net/channel/318
JTBC,https://v.daum.net/channel/310
KBS,https://v.daum.net/channel/327
MBC,https://v.daum.net/channel/98
MBN,https://v.daum.net/channel/60
SBS,https://v.daum.net/channel/73
채널A,https://v.daum.net/channel/317
시사IN,https://v.daum.net/channel/131
시사저널,https://v.daum.net/channel/178
신동아,https://v.daum.net/channel/227
주간경향,https://v.daum.net/channel/29
주간동아,https://v.daum.net/channel/228
중앙SUNDAY,https://v.daum.net/channel/3437
한겨레21,https://v.daum.net/channel/18
SBS Biz,https://v.daum.net/channel/189
더스쿠프,https://v.daum.net/channel/365842
매경이코노미,https://v.daum.net/channel/59
머니S,https://v.daum.net/channel/157
비즈워치,https://v.daum.net/channel/3589
이코노미조선,https://v.daum.net/channel/224
조선비즈,https://v.daum.net/channel/216
한경비즈니스,https://v.daum.net/channel/77
한국경제TV,https://v.daum.net/channel/134
EBS,https://v.daum.net/channel/244
IT동아,https://v.daum.net/channel/226
게임동아,https://v.daum.net/channel/85
게임톡,https://v.daum.net/channel/297
기자협회보,https://v.daum.net/channel/62
농민신문,https://v.daum.net/channel/283978
동아사이언스,https://v.daum.net/channel/3130
디지털타임스,https://v.daum.net/channel/94
매경게임진,https://v.daum.net/channel/219
미디어오늘,https://v.daum.net/channel/14
전자신문,https://v.daum.net/channel/82
지디넷코리아,https://v.daum.net/channel/294
코리아중앙데일리,https://v.daum.net/channel/3510
코리아헤럴드,https://v.daum.net/channel/22
포토친구,https://v.daum.net/channel/295
CJB청주방송 ,https://v.daum.net/channel/161725
JIBS ,https://v.daum.net/channel/133708
kbc광주방송 ,https://v.daum.net/channel/133710
강원도민일보 ,https://v.daum.net/channel/172504
경기일보 ,https://v.daum.net/channel/408483
국제신문 ,https://v.daum.net/channel/174606
대구MBC ,https://v.daum.net/channel/133703
대전일보 ,https://v.daum.net/channel/98009
전주MBC ,https://v.daum.net/channel/163574
노컷뉴스 ,https://v.daum.net/channel/35
뉴스타파 ,https://v.daum.net/channel/3272
더팩트 ,https://v.daum.net/channel/359
데일리안 ,https://v.daum.net/channel/43
아이뉴스24 ,https://v.daum.net/channel/10
오마이뉴스 ,https://v.daum.net/channel/4
쿠키뉴스 ,https://v.daum.net/channel/47
프레시안 ,https://v.daum.net/channel/12
로피시엘 코리아 ,https://v.daum.net/channel/306
리빙센스 ,https://v.daum.net/channel/163
마리끌레르 ,https://v.daum.net/channel/261
메종 ,https://v.daum.net/channel/260
베이비뉴스 ,https://v.daum.net/channel/250
시티라이프 ,https://v.daum.net/channel/170
아레나 ,https://v.daum.net/channel/314
엘르 ,https://v.daum.net/channel/268
여성동아 ,https://v.daum.net/channel/255
오토타임즈 ,https://v.daum.net/channel/68
우먼센스 ,https://v.daum.net/channel/162
월간 아웃도어 ,https://v.daum.net/channel/254
월간 전원속의 내집 ,https://v.daum.net/channel/303
월간산 ,https://v.daum.net/channel/221
웨딩21뉴스 ,https://v.daum.net/channel/259
코메디닷컴 ,https://v.daum.net/channel/256
코스모폴리탄 ,https://v.daum.net/channel/323
키즈맘 ,https://v.daum.net/channel/298
투어코리아 ,https://v.daum.net/channel/305
트래비 ,https://v.daum.net/channel/251
하이닥 ,https://v.daum.net/channel/252
헬스조선 ,https://v.daum.net/channel/220
KTV ,https://v.daum.net/channel/75
뉴스와이어 ,https://v.daum.net/channel/95
연합뉴스 보도자료 ,https://v.daum.net/channel/79
정책브리핑 ,https://v.daum.net/channel/65
MHN스포츠,https://v.daum.net/channel/320
MK스포츠,https://v.daum.net/channel/296
OSEN,https://v.daum.net/channel/58
뉴스엔,https://v.daum.net/channel/67
마이데일리,https://v.daum.net/channel/57
스타뉴스,https://v.daum.net/channel/80
스포츠경향,https://v.daum.net/channel/86
스포츠동아,https://v.daum.net/channel/169
스포츠서울,https://v.daum.net/channel/434
스포츠조선,https://v.daum.net/channel/112
스포츠투데이,https://v.daum.net/channel/676
스포츠한국,https://v.daum.net/channel/37
스포티비뉴스,https://v.daum.net/channel/331
엑스포츠뉴스,https://v.daum.net/channel/132
일간스포츠,https://v.daum.net/channel/13
골닷컴,https://v.daum.net/channel/144
골프한국,https://v.daum.net/channel/284
데일리e스포츠,https://v.daum.net/channel/555
로드FC,https://v.daum.net/channel/301
마니아타임즈,https://v.daum.net/channel/234
몬스터짐,https://v.daum.net/channel/302
바스켓코리아,https://v.daum.net/channel/181
발리볼코리아,https://v.daum.net/channel/326
베스트일레븐,https://v.daum.net/channel/180
스포탈코리아,https://v.daum.net/channel/70
에스티엔,https://v.daum.net/channel/285
인터풋볼,https://v.daum.net/channel/246
점프볼,https://v.daum.net/channel/110
테니스코리아,https://v.daum.net/channel/321
펜타프레스,https://v.daum.net/channel/214
포모스,https://v.daum.net/channel/119
포포투,https://v.daum.net/channel/287
풋볼리스트,https://v.daum.net/channel/293
MBC연예,https://v.daum.net/channel/313
SBS연예뉴스,https://v.daum.net/channel/249
TV리포트,https://v.daum.net/channel/56
bnt뉴스,https://v.daum.net/channel/175
